,URL,Location,End Time,Lot No.,Description,Sku,Bullets,Current Bid
0,https://capitalcityonlineauction.com/Public/Auction/AuctionItemDetail?pageNumber=pf6Q%2bhJtdeleDd9FfYpy9w%3d%3d&pageSize=vub4Y9N5W204dCptuaUzRQ%3d%3d&showFilter=iBcS%2b4ptjknZQtCojbueqQ%3d%3d&sortColumn=C9SY4KX74WJIILYqur0bmw%3d%3d&AuctionItemId=losdmpMja7sHZ0eAe6mQrQ%3d%3d&Filter=ITUHdU2DoqWvw89vAOs0Dw%3d%3d&AuctionId=5XAkT1paxSGDMLeiVn200Q%3d%3d,Groveport Depot,: Wed Aug 24 2022 7:00 PM,Lot - 1,"(60)WGen9500DFc 12,500/9,500-Watt Dual Fuel Portable Generator with Remote Start, Transfer Switch Outlet and CO Sensor",SKU# : 571488,"The Westinghouse WGen9500DFc Dual Fuel Portable Generator with CO Sensor produces up to 12,500 peak watts and 9,500 running watts, the WGen9500DFc is a dual fuel generator that operates on gasolin... Read More",Current Bid : 526.50
1,https://capitalcityonlineauction.com/Public/Auction/AuctionItemDetail?pageNumber=pf6Q%2bhJtdeleDd9FfYpy9w%3d%3d&pageSize=vub4Y9N5W204dCptuaUzRQ%3d%3d&showFilter=iBcS%2b4ptjknZQtCojbueqQ%3d%3d&sortColumn=C9SY4KX74WJIILYqur0bmw%3d%3d&AuctionItemId=awefrE%2ftPfHdsmPQ5C%2fCkg%3d%3d&Filter=ITUHdU2DoqWvw89vAOs0Dw%3d%3d&AuctionId=5XAkT1paxSGDMLeiVn200Q%3d%3d,Groveport Depot,: Wed Aug 24 2022 7:00 PM,Lot - 2,"(17)**King**Vibe 12-Inch Gel Memory Foam Mattress | Bed in a Box, [Mattress Only], King (410263-1160)",SKU# : 571080,"76"" W x 80"" L x 12"" H.2 inches of gel-infused memory foam combined 3 inches of gel-infused foam draws heat away from your body for a more comfortable night's sleep This item is NEW. Please come P... Read More",Current Bid : 71.00
2,https://capitalcityonlineauction.com/Public/Auction/AuctionItemDetail?pageNumber=pf6Q%2bhJtdeleDd9FfYpy9w%3d%3d&pageSize=vub4Y9N5W204dCptuaUzRQ%3d%3d&showFilter=iBcS%2b4ptjknZQtCojbueqQ%3d%3d&sortColumn=C9SY4KX74WJIILYqur0bmw%3d%3d&AuctionItemId=aEP6ByCaP4mqGS9nn5d5RA%3d%3d&Filter=ITUHdU2DoqWvw89vAOs0Dw%3d%3d&AuctionId=5XAkT1paxSGDMLeiVn200Q%3d%3d,Groveport Depot,: Wed Aug 24 2022 7:00 PM,Lot - 3,(58)Dyson Pure Cool Link™ tower TP02 purifier fan (White/Silver) - Refurbished,SKU# : 571479,Intelligently purifies and cools you Sealed filter with HEPA and activated carbon Circulates purified air throughout the whole roomThis item is NEW. Please come Preview! Re... Read More,Current Bid : 100.50
3,https://capitalcityonlineauction.com/Public/Auction/AuctionItemDetail?pageNumber=pf6Q%2bhJtdeleDd9FfYpy9w%3d%3d&pageSize=vub4Y9N5W204dCptuaUzRQ%3d%3d&showFilter=iBcS%2b4ptjknZQtCojbueqQ%3d%3d&sortColumn=C9SY4KX74WJIILYqur0bmw%3d%3d&AuctionItemId=NuNF52DFzB2R1IVPj0XSpg%3d%3d&Filter=ITUHdU2DoqWvw89vAOs0Dw%3d%3d&AuctionId=5XAkT1paxSGDMLeiVn200Q%3d%3d,Groveport Depot,: Wed Aug 24 2022 7:00 PM,Lot - 4,"(31)LACOO Big and Tall Gray Brown Power Lift Recliner Chair for Elderly with Massage and Heat, Side Pockets and Cup Holders",SKU# : 571162,"Power Lift Assistance: Power lift and recline assist system, help the elder stand up easily. The foot rest and seat back can be adjusted at multiple angles by remote control, smoothly adjusting th... Read More",Current Bid : 125.00
4,https://capitalcityonlineauction.com/Public/Auction/AuctionItemDetail?pageNumber=pf6Q%2bhJtdeleDd9FfYpy9w%3d%3d&pageSize=vub4Y9N5W204dCptuaUzRQ%3d%3d&showFilter=iBcS%2b4ptjknZQtCojbueqQ%3d%3d&sortColumn=C9SY4KX74WJIILYqur0bmw%3d%3d&AuctionItemId=FfzVVt3rzVYXSpSF%2fxNTPg%3d%3d&Filter=ITUHdU2DoqWvw89vAOs0Dw%3d%3d&AuctionId=5XAkT1paxSGDMLeiVn200Q%3d%3d,Groveport Depot,: Wed Aug 24 2022 7:00 PM,Lot - 5,(82)Smad Ice Maker Machine Automatic Household Commercial Ice Maker,SKU# : 571551,"✔Get Large Amount of Ice In No Time - Making ice 88 lbs/24 hrs, get 40 pcs of clear ice cubes in 11 ~20 minutes. Easily meet the requirements of both personal and commercial use with 8.8 large l... Read More",Current Bid : 36.00
5,https://capitalcityonlineauction.com/Public/Auction/AuctionItemDetail?pageNumber=pf6Q%2bhJtdeleDd9FfYpy9w%3d%3d&pageSize=vub4Y9N5W204dCptuaUzRQ%3d%3d&showFilter=iBcS%2b4ptjknZQtCojbueqQ%3d%3d&sortColumn=C9SY4KX74WJIILYqur0bmw%3d%3d&AuctionItemId=HSF31qK46fO%2bvhzcg47VcA%3d%3d&Filter=ITUHdU2DoqWvw89vAOs0Dw%3d%3d&AuctionId=5XAkT1paxSGDMLeiVn200Q%3d%3d,Groveport Depot,: Wed Aug 24 2022 7:00 PM,Lot - 6,(40)MDEAM Adjustable Backrest Adirondack Chair Folding Patio Lawn Outdoor Fire Pit Chairs Adirondack Chairs Weather Resistant with 2 Cup Holder/Adirondack Retractable Ottoman(Black),SKU# : 571192,"【3-Level Adjustable Backrest】Are you looking for a comfortable recliner? MDEAM adirondack chair has 3 reclining positions for backrest, meets the various needs of your daily life and creates a c... Read More",Current Bid : 32.00
6,https://capitalcityonlineauction.com/Public/Auction/AuctionItemDetail?pageNumber=pf6Q%2bhJtdeleDd9FfYpy9w%3d%3d&pageSize=vub4Y9N5W204dCptuaUzRQ%3d%3d&showFilter=iBcS%2b4ptjknZQtCojbueqQ%3d%3d&sortColumn=C9SY4KX74WJIILYqur0bmw%3d%3d&AuctionItemId=ds5TSZpiKJF6llWvHIiuaw%3d%3d&Filter=ITUHdU2DoqWvw89vAOs0Dw%3d%3d&AuctionId=5XAkT1paxSGDMLeiVn200Q%3d%3d,Groveport Depot,: Wed Aug 24 2022 7:00 PM,Lot - 7,(45)VIVOHOME Portable Massage Table Therapy Bed with Carrying Bag for Spa Salon Clinic Lash Tattoo Shop,SKU# : 571224,"PREMIUM QUALITY - With beechwood legs, first-rate plywood reinforcement boards, and steel wire ropes made of car brake cables, the VIVOHOME Portable Massage Table is a model of safety and stabil... Read More",Current Bid : 50.00
7,https://capitalcityonlineauction.com/Public/Auction/AuctionItemDetail?pageNumber=pf6Q%2bhJtdeleDd9FfYpy9w%3d%3d&pageSize=vub4Y9N5W204dCptuaUzRQ%3d%3d&showFilter=iBcS%2b4ptjknZQtCojbueqQ%3d%3d&sortColumn=C9SY4KX74WJIILYqur0bmw%3d%3d&AuctionItemId=7kZwazlmZ4AykBcREUC%2fQw%3d%3d&Filter=ITUHdU2DoqWvw89vAOs0Dw%3d%3d&AuctionId=5XAkT1paxSGDMLeiVn200Q%3d%3d,Groveport Depot,: Wed Aug 24 2022 7:00 PM,Lot - 8,"(32)Evaporative Air Cooler, 3-in-1 45"" Air Cooler, Tower Fan and Humidifier, 80° Oscillating Cooling Fan with 4 Speeds, 3 Modes, 6L Water Tank, Remote Control, for Bedroom, Living Room, Office",SKU# : 571163,"Versatile 3-in-1 Appliance: Use as a tower fan to create a breeze, a humidifier to keep air hydrated, or as an evaporative air cooler to transform warm air into a cool breeze by adding water and... Read More",Current Bid : 23.00
8,https://capitalcityonlineauction.com/Public/Auction/AuctionItemDetail?pageNumber=pf6Q%2bhJtdeleDd9FfYpy9w%3d%3d&pageSize=vub4Y9N5W204dCptuaUzRQ%3d%3d&showFilter=iBcS%2b4ptjknZQtCojbueqQ%3d%3d&sortColumn=C9SY4KX74WJIILYqur0bmw%3d%3d&AuctionItemId=NVfJXylhXNaT9grtzRQbNg%3d%3d&Filter=ITUHdU2DoqWvw89vAOs0Dw%3d%3d&AuctionId=5XAkT1paxSGDMLeiVn200Q%3d%3d,Groveport Depot,: Wed Aug 24 2022 7:00 PM,Lot - 9,"(69)Artiva USA A207901FC 88"" Micah Arched Floor lamp with Dimmer, Modern Chrome",SKU# : 571503,"Perfect behind sectional couch or accent sofa in a Dining Room, Living Room, or Bedroom as Reading Lamp or Primary Source of Light This item is NEW. Please come Preview! Retail:$183.55",Current Bid : 31.99
9,https://capitalcityonlineauction.com/Public/Auction/AuctionItemDetail?pageNumber=pf6Q%2bhJtdeleDd9FfYpy9w%3d%3d&pageSize=vub4Y9N5W204dCptuaUzRQ%3d%3d&showFilter=iBcS%2b4ptjknZQtCojbueqQ%3d%3d&sortColumn=C9SY4KX74WJIILYqur0bmw%3d%3d&AuctionItemId=8x4oN7Qg%2b8iqH0hHI8WwhQ%3d%3d&Filter=ITUHdU2DoqWvw89vAOs0Dw%3d%3d&AuctionId=5XAkT1paxSGDMLeiVn200Q%3d%3d,Groveport Depot,: Wed Aug 24 2022 7:00 PM,Lot - 10,(25)Drive 15076 Quick 'N Easy Comfort Mattress,SKU# : 571140,"The Quick 'N Easy Comfort Mattress offers the utmost in comfort, safety and convenience. Its inner core is encased in fire retardant barrier, meeting regulation 16 CFR 1633. A non-slip bottom an... Read More",Current Bid : 1.00
